score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1),score.fulltime.home (home 2),score.fulltime.away (home 2),Shots on Goal (home 2),Shots off Goal (home 2),Total Shots (home 2),Blocked Shots (home 2),Shots insidebox (home 2),Shots outsidebox (home 2),Fouls (home 2),Corner Kicks (home 2),Offsides (home 2),Ball Possession (home 2),Yellow Cards (home 2),Red Cards (home 2),Goalkeeper Saves (home 2),Total passes (home 2),Passes accurate (home 2),Passes % (home 2),score.fulltime.home (away 2),score.fulltime.away (away 2),Shots on Goal (away 2),Shots off Goal (away 2),Total Shots (away 2),Blocked Shots (away 2),Shots insidebox (away 2),Shots outsidebox (away 2),Fouls (away 2),Corner Kicks (away 2),Offsides (away 2),Ball Possession (away 2),Yellow Cards (away 2),Red Cards (away 2),Goalkeeper Saves (away 2),Total passes (away 2),Passes accurate (away 2),Passes % (away 2),score.fulltime.home (h2h 2),score.fulltime.away (h2h 2),Shots on Goal (h2h - home 2),Shots off Goal (h2h - home 2),Total Shots (h2h - home 2),Blocked Shots (h2h - home 2),Shots insidebox (h2h - home 2),Shots outsidebox (h2h - home 2),Fouls (h2h - home 2),Corner Kicks (h2h - home 2),Offsides (h2h - home 2),Ball Possession (h2h - home 2),Yellow Cards (h2h - home 2),Red Cards (h2h - home 2),Goalkeeper Saves (h2h - home 2),Total passes (h2h - home 2),Passes accurate (h2h - home 2),Passes % (h2h - home 2),Shots on Goal (h2h - away 2),Shots off Goal (h2h - away 2),Total Shots (h2h - away 2),Blocked Shots (h2h - away 2),Shots insidebox (h2h - away 2),Shots outsidebox (h2h - away 2),Fouls (h2h - away 2),Corner Kicks (h2h - away 2),Offsides (h2h - away 2),Ball Possession (h2h - away 2),Yellow Cards (h2h - away 2),Red Cards (h2h - away 2),Goalkeeper Saves (h2h - away 2),Total passes (h2h - away 2),Passes accurate (h2h - away 2),Passes % (h2h - away 2)
2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,2,1,3,7,14,4,8,6,10,2,0,0.29,1,0,6,286,222,0.78,9,4,18,5,12,6,5,7,2,0.71,2,0,2,727,649,0.89,2,2,9,5,18,4,11,7,17,5,1,0.56,2,0,2,479,407,0.85,3,0,8,4,16,4,10,6,7,6,2,0.7,2,0,1,651,582,0.89,2,4,2,2,9,5,6,3,13,6,1,0.37,1,0,2,305,216,0.71,6,9,19,4,10,9,18,0,0,0.63,2,0,0,538,452,0.84
1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,3,0,3,4,10,3,5,5,9,9,1,0.49,1,0,0,449,381,0.85,0,2,2,3,6,1,4,2,13,4,0,0.43,3,0,1,420,317,0.75,1,1,6,4,12,2,7,5,13,6,0,0.4,0,0,1,375,266,0.71,2,5,9,2,6,3,16,5,0,0.6,3,0,5,585,468,0.8
0,3,4,5,12,3,9,3,14,6,1,0.43,1,0,10,381,292,0.77,2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,0,2,3,2,10,5,5,5,16,8,1,0.36,1,0,4,385,318,0.83,6,5,15,4,9,6,5,5,3,0.64,0,0,3,710,649,0.91,1,1,2,3,9,4,5,4,9,1,0,0.39,0,0,2,365,268,0.73,3,0,2,6,11,3,8,3,11,5,0,0.51,2,0,3,492,419,0.85,1,2,4,3,10,3,7,3,8,4,2,0.3,3,0,5,319,226,0.71,6,8,20,6,12,8,11,10,0,0.7,2,0,2,758,677,0.89
0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,1,1,4,5,13,4,10,3,15,2,1,0.42,3,1,6,310,206,0.66,8,1,12,3,8,4,14,6,2,0.58,2,0,3,427,308,0.72,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,0,2,2,8,15,5,10,5,13,9,1,0.4,3,0,2,375,296,0.79,2,1,7,6,13,0,8,5,15,2,1,0.47,2,0,2,365,270,0.74,3,3,8,2,3,5,27,3,4,0.53,2,0,5,408,302,0.74
1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,0,0,0,3,4,1,2,2,17,5,3,0.44,1,2,1,389,304,0.78,1,1,1,1,3,1,2,1,11,3,2,0.29,3,0,5,270,194,0.72,6,4,12,2,9,3,11,7,1,0.71,1,0,1,653,578,0.89,1,0,3,4,13,6,8,5,12,5,3,0.6,4,0,2,503,397,0.79,0,2,4,4,12,4,5,7,12,7,2,0.53,1,1,0,554,462,0.83,0,2,5,1,8,2,5,3,8,3,3,0.36,0,0,2,331,241,0.73,2,2,10,6,5,5,18,5,0,0.64,1,0,3,572,488,0.85
0,2,6,1,9,2,6,3,23,1,3,0.31,5,1,9,217,130,0.6,0,2,9,4,17,4,12,5,13,12,2,0.69,3,0,4,458,365,0.8,0,2,6,1,9,2,6,3,23,1,3,0.31,5,1,9,217,130,0.6,9,4,17,4,12,5,13,12,2,0.69,3,0,4,458,365,0.8,0,2,1,6,10,3,6,4,9,9,3,0.46,2,0,3,451,316,0.7,1,0,6,6,17,5,8,9,13,10,1,0.49,2,2,6,375,279,0.74,1,1,8,6,20,6,13,7,10,13,4,0.58,2,0,2,450,331,0.74,3,4,12,5,7,5,10,6,1,0.42,3,0,6,317,202,0.64
2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,2,0,1,4,9,4,4,5,11,9,3,0.54,2,0,4,418,332,0.79,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76,1,0,3,4,9,2,2,7,12,2,1,0.4,0,0,3,351,268,0.76,2,0,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76,0,3,3,3,10,4,3,7,16,2,1,0.52,2,2,4,455,394,0.87,7,9,16,0,12,4,10,5,1,0.48,4,0,3,412,347,0.84
0,0,6,5,13,2,7,6,7,6,2,0.61,1,0,1,445,300,0.67,1,1,6,5,13,2,9,4,15,4,0,0.55,8,1,3,433,351,0.81,2,3,4,2,9,3,5,4,13,3,0,0.41,3,0,2,370,264,0.71,4,6,12,2,8,4,16,3,4,0.59,1,0,1,559,441,0.79,2,2,5,6,13,2,8,5,14,6,2,0.61,1,0,5,477,385,0.81,4,1,1,3,6,2,4,2,15,3,6,0.31,3,0,4,317,229,0.72,2,1,7,11,22,4,12,10,13,5,0,0.44,2,0,2,369,270,0.73,3,8,17,6,9,8,13,4,0,0.56,3,0,5,464,355,0.77
2,1,4,10,17,3,10,7,12,4,1,0.55,2,0,4,608,552,0.91,1,0,2,10,19,7,12,7,12,5,3,0.48,1,0,3,443,329,0.74,0,4,6,2,9,1,7,2,11,3,4,0.74,1,0,0,840,769,0.92,1,3,7,3,5,2,9,3,3,0.26,1,0,2,289,206,0.71,0,2,2,7,9,0,7,2,12,1,3,0.47,2,0,4,486,415,0.85,0,4,1,3,7,3,5,2,9,3,3,0.26,1,0,2,289,206,0.71,2,0,6,7,18,5,13,5,0,4,4,0.7,1,0,2,768,708,0.92,2,4,8,2,2,6,0,1,1,0.3,3,0,4,330,244,0.74
4,1,3,7,16,6,6,10,12,6,2,0.42,3,0,1,380,291,0.77,4,1,5,3,9,1,9,0,17,3,4,0.58,3,1,2,555,466,0.84,4,1,3,7,16,6,6,10,12,6,2,0.42,3,0,1,380,291,0.77,5,3,9,1,9,0,17,3,4,0.58,3,1,2,555,466,0.84,1,1,6,7,16,3,12,4,16,6,4,0.5,3,0,1,415,329,0.79,0,3,5,9,14,0,12,2,13,6,0,0.54,3,0,6,432,346,0.8,2,1,3,5,14,6,5,9,0,4,0,0.47,4,1,1,341,234,0.69,4,3,8,1,7,1,0,6,5,0.53,4,1,2,412,332,0.81
1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,2,1,4,10,17,3,10,7,12,4,1,0.55,2,0,4,608,552,0.91,4,0,1,4,5,0,2,3,12,1,1,0.28,1,1,4,234,155,0.66,8,11,26,7,18,8,16,7,3,0.72,2,0,1,620,553,0.89,4,2,11,9,24,4,20,4,12,9,1,0.59,3,0,3,463,393,0.85,0,2,2,7,9,0,7,2,12,1,3,0.47,2,0,4,486,415,0.85,1,3,2,10,17,5,8,9,12,3,1,0.35,1,0,3,357,275,0.77,6,5,13,2,10,3,14,3,2,0.65,3,0,1,679,604,0.89
1,2,3,5,13,5,9,4,14,2,4,0.48,3,0,3,500,407,0.81,1,2,5,6,18,7,10,8,12,1,1,0.49,3,0,3,466,356,0.76,1,1,2,9,12,1,6,6,12,5,1,0.47,1,0,4,483,399,0.83,5,5,16,6,11,5,9,7,0,0.53,1,0,1,546,456,0.84,4,0,1,3,5,1,3,2,19,3,2,0.48,2,1,1,387,311,0.8,3,1,7,5,16,4,9,7,13,8,0,0.46,4,0,4,382,283,0.74,1,1,2,5,11,4,8,3,17,4,3,0.39,3,0,1,364,258,0.71,2,4,8,2,3,5,12,3,3,0.61,3,0,1,554,443,0.8
1,1,6,6,12,0,12,0,12,2,2,0.51,2,0,2,504,403,0.8,1,2,11,10,23,2,14,9,9,8,4,0.74,1,0,5,708,618,0.87,1,2,5,1,8,2,7,1,12,3,1,0.36,0,0,3,394,295,0.75,4,10,20,6,12,8,9,9,2,0.64,2,0,3,691,605,0.88,1,5,8,7,20,5,12,8,12,14,1,0.63,1,0,1,534,454,0.85,0,4,5,8,17,4,14,3,6,6,6,0.71,1,0,1,692,621,0.9,1,3,5,4,13,4,7,6,14,2,1,0.43,3,0,6,432,350,0.81,9,5,21,7,16,5,9,6,1,0.57,2,0,4,569,495,0.87
0,2,9,4,17,4,12,5,13,12,2,0.69,3,0,4,458,365,0.8,1,1,4,5,11,2,6,5,17,8,1,0.45,3,1,5,341,259,0.76,2,1,3,11,22,8,11,11,9,11,4,0.7,1,0,3,522,420,0.8,6,1,8,1,5,3,8,2,2,0.3,2,0,2,240,146,0.61,1,0,6,6,17,5,8,9,13,10,1,0.49,2,2,6,375,279,0.74,4,0,5,9,14,0,7,7,9,3,3,0.52,0,0,1,423,340,0.8,1,3,4,9,18,5,16,2,19,8,4,0.44,3,1,2,323,213,0.66,6,9,16,1,11,5,9,2,7,0.56,1,0,3,432,317,0.73
1,1,6,5,13,2,9,4,15,4,0,0.55,8,1,3,433,351,0.81,0,2,6,1,9,2,6,3,23,1,3,0.31,5,1,9,217,130,0.6,2,1,2,4,11,5,6,5,18,6,1,0.53,3,0,3,405,305,0.75,5,4,14,5,3,11,15,2,3,0.47,1,0,1,375,280,0.75,4,1,1,3,6,2,4,2,15,3,6,0.31,3,0,4,317,229,0.72,0,2,1,6,10,3,6,4,9,9,3,0.46,2,0,3,451,316,0.7,4,1,1,4,7,2,4,3,16,10,2,0.6,3,0,3,510,439,0.86,8,5,16,3,12,4,13,5,2,0.4,2,0,1,344,279,0.81
2,1,3,8,14,3,8,6,9,7,2,0.47,1,0,5,382,326,0.85,1,2,7,2,11,2,5,6,16,2,4,0.26,3,1,10,241,161,0.67,2,3,5,2,12,5,11,1,15,6,7,0.39,3,0,2,341,188,0.55,5,8,17,4,11,6,15,6,4,0.61,1,0,3,538,384,0.71,3,0,6,7,18,5,10,8,15,5,0,0.57,0,0,1,535,459,0.86,1,1,9,7,27,11,16,11,10,13,3,0.71,0,0,1,684,583,0.85,2,2,7,1,11,3,7,4,19,5,2,0.35,5,1,5,248,168,0.68,7,9,20,4,14,6,14,9,2,0.65,1,0,4,445,363,0.82
2,1,8,2,17,7,12,5,12,7,4,0.55,1,0,6,483,368,0.76,2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,2,1,8,13,26,5,21,5,14,9,0,0.69,2,1,3,497,405,0.81,5,3,11,3,7,4,24,2,0,0.31,5,0,7,228,140,0.61,1,2,5,4,11,2,5,6,16,3,6,0.51,2,0,4,478,385,0.81,0,2,2,9,12,1,9,3,17,4,5,0.61,3,0,2,467,377,0.81,3,1,7,9,20,4,15,5,8,5,2,0.66,0,0,1,630,554,0.88,2,3,9,4,4,5,13,6,3,0.34,2,0,4,308,218,0.71
1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,2,2,4,7,13,2,7,6,16,5,0,0.45,2,0,5,486,407,0.84,6,6,14,2,7,7,12,2,1,0.55,1,0,2,601,520,0.87,3,0,8,4,16,4,10,6,7,6,2,0.7,2,0,1,651,582,0.89,0,0,1,8,10,1,6,4,11,4,0,0.48,4,0,3,485,395,0.81,0,1,3,3,10,4,3,7,20,5,0,0.53,3,0,4,453,377,0.83,6,5,12,1,6,6,15,7,0,0.47,3,0,3,392,312,0.8
3,1,3,5,13,5,8,5,10,2,1,0.51,3,0,5,448,371,0.83,4,1,7,8,15,0,11,4,12,3,3,0.52,2,1,5,488,412,0.84,0,1,1,4,9,4,4,5,17,4,0,0.4,3,0,7,347,266,0.77,8,7,17,2,8,9,7,6,4,0.6,1,1,1,548,453,0.83,0,1,2,4,9,3,6,3,19,6,1,0.56,3,0,4,474,366,0.77,0,3,7,6,14,1,10,5,11,3,1,0.67,1,0,3,568,474,0.83,3,0,0,6,8,2,2,6,12,1,6,0.36,3,1,7,326,269,0.83,10,10,30,10,18,12,7,6,0,0.64,1,0,0,596,541,0.91
2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,0,0,6,5,13,2,7,6,7,6,2,0.61,1,0,1,445,300,0.67,1,1,6,0,8,2,4,4,14,7,5,0.57,1,0,3,556,452,0.81,4,4,11,3,9,2,15,3,3,0.43,1,0,5,421,312,0.74,3,0,4,6,14,4,7,7,6,7,5,0.65,0,0,7,522,416,0.8,2,2,5,6,13,2,8,5,14,6,2,0.61,1,0,5,477,385,0.81,3,1,12,7,20,1,11,9,15,11,1,0.73,2,0,1,624,542,0.87,2,1,3,0,3,0,11,3,0,0.27,2,1,8,225,136,0.6
4,1,1,3,4,0,4,0,16,2,0,0.33,3,0,3,294,211,0.72,2,1,5,7,14,2,7,7,27,2,6,0.4,8,1,2,317,245,0.77,3,1,6,7,13,0,9,4,0,7,3,0.64,2,0,1,543,457,0.84,4,10,18,4,12,6,0,3,1,0.36,3,0,4,313,234,0.75,2,1,6,5,12,1,7,5,13,4,1,0.44,1,0,4,380,283,0.74,1,1,9,7,19,3,13,6,15,7,2,0.58,3,0,2,385,305,0.79,1,0,2,2,5,1,3,2,0,4,5,0.33,2,0,2,263,174,0.66,3,7,13,3,5,8,0,6,2,0.67,5,1,1,519,434,0.84
2,0,4,3,8,1,7,1,8,5,5,0.65,1,0,3,650,569,0.88,0,2,6,4,18,8,13,5,11,9,3,0.64,1,0,4,560,489,0.87,5,1,10,2,15,3,12,4,15,8,2,0.44,1,0,3,364,294,0.81,3,10,14,1,6,8,10,6,1,0.56,4,0,6,449,373,0.83,3,2,2,2,4,0,3,1,17,3,1,0.36,4,0,2,359,277,0.77,3,2,6,6,15,3,11,4,17,8,2,0.63,4,0,1,539,439,0.81,1,1,4,3,7,0,5,2,0,4,5,0.37,2,0,5,352,243,0.69,6,6,16,4,11,5,0,9,4,0.63,1,0,3,591,497,0.84
2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,1,2,3,9,14,2,7,7,18,2,1,0.44,0,0,5,418,336,0.8,7,4,18,7,14,4,10,6,4,0.56,1,0,2,531,454,0.85,0,2,2,8,15,5,10,5,13,9,1,0.4,3,0,2,375,296,0.79,3,4,5,3,11,3,7,4,16,6,2,0.56,2,0,1,527,444,0.84,2,1,3,4,10,3,6,4,16,5,0,0.49,3,0,1,435,348,0.8,3,7,13,3,11,2,11,6,1,0.51,2,0,2,450,354,0.79
1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,5,0,1,1,2,0,1,1,13,8,0,0.4,4,1,3,325,243,0.75,8,9,21,4,14,7,10,5,3,0.6,0,0,1,499,430,0.86,2,0,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76,2,2,9,5,18,4,11,7,17,5,1,0.56,2,0,2,479,407,0.85,1,0,6,5,11,0,4,7,17,5,4,0.62,3,1,2,405,312,0.77,3,0,3,0,1,2,17,1,1,0.38,3,1,6,254,148,0.58
1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,3,2,7,5,18,6,8,10,13,6,0,0.55,2,0,1,465,379,0.82,4,6,13,3,8,5,13,3,4,0.45,2,0,5,389,307,0.79,0,2,2,3,6,1,4,2,13,4,0,0.43,3,0,1,420,317,0.75,1,0,3,4,13,6,8,5,12,5,3,0.6,4,0,2,503,397,0.79,1,0,4,4,8,0,6,2,18,7,1,0.53,1,0,1,481,378,0.79,1,3,9,5,7,2,15,5,1,0.47,3,0,3,412,322,0.78
1,0,2,10,19,7,12,7,12,5,3,0.48,1,0,3,443,329,0.74,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,0,0,1,1,2,0,2,0,0,6,2,0.48,5,0,1,403,280,0.69,1,5,7,1,3,4,0,2,3,0.52,1,0,1,458,337,0.74,0,4,1,3,7,3,5,2,9,3,3,0.26,1,0,2,289,206,0.71,3,0,3,4,10,3,5,5,9,9,1,0.49,1,0,0,449,381,0.85,0,2,3,4,8,1,5,3,0,9,3,0.67,2,0,3,527,418,0.79,5,2,9,2,4,5,0,3,1,0.33,2,0,3,261,164,0.63
3,2,4,5,10,1,7,3,13,3,2,0.56,1,0,1,541,460,0.85,0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,0,1,8,6,21,7,13,8,8,11,1,0.64,2,0,1,551,495,0.9,2,5,7,0,4,3,14,4,0,0.36,3,0,8,300,236,0.79,2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,1,1,5,4,16,7,9,7,11,10,0,0.64,2,0,3,558,479,0.86,4,5,13,4,9,4,22,5,4,0.36,2,0,4,313,239,0.76
1,0,3,9,16,4,9,7,15,8,2,0.31,2,0,3,287,199,0.69,1,0,3,6,11,2,6,5,11,5,1,0.69,1,0,2,646,547,0.85,1,0,3,9,16,4,9,7,15,8,2,0.31,2,0,3,287,199,0.69,3,6,11,2,6,5,11,5,1,0.69,1,0,2,646,547,0.85,3,0,3,3,13,7,7,6,13,7,6,0.47,3,0,1,457,333,0.73,1,1,1,0,5,4,1,4,17,6,2,0.68,3,0,5,636,545,0.86,0,3,5,1,11,5,10,1,0,4,1,0.41,2,0,3,448,340,0.76,3,5,11,3,4,7,0,3,0,0.59,0,0,2,651,553,0.85
4,0,10,4,16,2,8,8,11,8,7,0.46,1,0,2,418,329,0.79,0,0,2,3,6,1,4,2,13,1,1,0.47,5,0,2,358,271,0.76,1,1,5,11,21,5,11,10,7,5,5,0.56,2,0,2,512,428,0.84,3,2,10,5,5,5,9,3,2,0.44,2,0,4,407,306,0.75,3,4,8,4,17,5,8,9,14,8,3,0.62,2,1,3,473,385,0.81,1,0,2,5,11,4,3,8,12,6,2,0.48,3,0,0,404,312,0.77,1,2,3,11,14,0,11,3,9,4,5,0.51,2,0,4,532,455,0.86,3,4,9,2,6,4,12,10,1,0.49,2,0,1,508,437,0.86
3,1,9,6,19,4,9,10,12,9,3,0.55,1,0,1,512,432,0.84,3,2,3,1,9,5,8,1,20,4,2,0.37,6,1,2,306,213,0.7,2,2,8,5,18,5,12,6,0,9,0,0.5,3,0,3,381,292,0.77,5,3,13,5,7,6,0,7,5,0.5,1,0,6,399,305,0.76,2,1,5,8,18,5,12,6,12,11,4,0.62,1,0,4,500,414,0.83,2,2,3,0,8,5,7,1,16,2,3,0.38,5,0,4,319,206,0.65,0,0,3,2,8,3,1,7,0,3,0,0.56,3,0,4,433,331,0.76,4,4,10,2,7,3,0,3,1,0.44,1,0,3,332,230,0.69
0,0,0,10,15,5,7,8,16,9,1,0.69,2,0,1,676,595,0.88,0,0,1,13,19,5,13,6,13,6,3,0.56,1,0,1,492,433,0.88,0,3,6,3,11,2,8,3,17,2,1,0.47,2,0,4,472,392,0.83,4,4,10,2,7,3,8,1,0,0.53,1,0,3,551,486,0.88,0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,2,1,5,8,15,2,9,6,14,8,2,0.55,0,0,2,527,444,0.84,3,1,4,0,2,2,10,3,0,0.45,2,0,3,420,335,0.8
1,1,8,5,18,5,11,7,9,6,0,0.5,1,0,2,422,315,0.75,1,2,5,1,7,1,5,2,10,2,0,0.52,2,1,2,543,445,0.82,1,0,2,8,14,4,8,6,23,2,4,0.46,3,0,1,343,208,0.61,2,5,10,3,7,3,12,4,1,0.54,1,0,2,426,291,0.68,1,1,9,10,23,4,16,7,27,3,3,0.46,3,0,3,307,199,0.65,3,3,7,8,17,2,14,3,9,10,4,0.67,3,0,1,723,631,0.87,3,3,7,3,12,2,7,5,19,2,3,0.26,0,0,7,238,145,0.61,10,10,24,4,13,11,13,8,0,0.74,1,0,4,661,561,0.85
2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,0,1,2,6,3,4,2,23,5,1,0.48,1,0,3,378,295,0.78,5,4,13,4,10,3,14,2,0,0.52,2,0,1,431,357,0.83,1,0,3,4,9,2,2,7,12,2,1,0.4,0,0,3,351,268,0.76,1,0,3,5,12,4,7,5,8,8,1,0.49,2,0,0,442,338,0.76,4,0,2,3,5,0,3,2,10,2,1,0.4,0,0,1,398,316,0.79,5,5,11,1,7,4,13,4,0,0.6,0,0,2,606,524,0.86
4,2,13,8,23,2,18,5,15,2,1,0.5,3,0,2,443,360,0.81,1,5,5,6,12,1,11,1,14,3,2,0.37,3,1,8,306,229,0.75,1,3,6,3,15,6,11,4,15,5,0,0.53,2,0,3,425,335,0.79,4,11,21,6,13,8,13,3,1,0.47,2,0,3,376,297,0.79,2,0,2,7,13,4,7,6,7,6,2,0.63,1,0,4,612,486,0.79,2,3,5,6,16,5,8,8,16,3,5,0.55,1,0,2,463,359,0.78,0,1,5,2,10,3,7,3,5,6,0,0.56,0,0,2,586,492,0.84,2,9,13,2,6,7,12,2,2,0.44,2,0,4,465,383,0.82
2,3,4,7,13,2,7,7,15,8,2,0.57,5,0,4,534,473,0.89,1,2,6,5,15,4,9,6,21,6,0,0.48,2,0,0,351,227,0.65,2,0,4,5,11,2,9,2,7,5,0,0.54,1,0,1,647,585,0.9,1,2,5,2,1,4,9,3,1,0.46,2,0,2,529,464,0.88,0,1,0,1,4,3,3,1,10,3,2,0.4,3,0,3,449,359,0.8,4,2,5,9,19,5,13,6,13,7,5,0.32,2,0,5,286,198,0.69,2,6,5,5,13,3,10,4,9,6,1,0.44,3,1,2,335,269,0.8,4,6,12,2,7,5,19,1,0,0.56,6,0,0,421,361,0.86
2,1,7,6,18,5,13,5,16,9,1,0.52,4,0,3,381,270,0.71,4,1,7,5,14,2,11,3,11,5,3,0.67,0,0,0,608,536,0.88,0,1,4,4,9,1,3,6,20,4,1,0.37,5,0,1,341,261,0.77,3,8,12,1,12,0,13,4,6,0.63,4,0,4,600,507,0.85,1,0,4,5,14,5,9,5,12,7,0,0.61,2,0,0,510,398,0.78,0,3,6,10,17,1,14,3,6,5,3,0.81,0,0,1,861,778,0.9,6,0,3,3,9,3,4,5,0,2,1,0.24,2,1,1,230,142,0.62,8,10,20,2,15,5,0,6,4,0.76,2,0,3,754,657,0.87
1,3,7,8,16,1,11,5,16,12,1,0.49,2,0,6,413,323,0.78,3,2,5,5,17,7,10,7,16,10,4,0.64,3,0,0,630,558,0.89,2,1,3,3,9,3,4,5,18,6,0,0.47,3,0,5,429,361,0.84,7,6,19,6,13,6,9,5,2,0.53,1,0,2,497,426,0.86,2,1,5,4,13,4,7,6,10,3,0,0.56,2,0,4,484,373,0.77,1,1,5,6,14,3,13,1,16,7,2,0.45,2,0,1,422,354,0.84,5,1,2,4,9,3,4,5,0,4,1,0.33,1,0,4,344,272,0.79,9,4,17,4,13,4,0,4,5,0.67,1,0,1,719,661,0.92
2,1,4,10,17,3,14,3,16,7,2,0.57,4,0,3,514,420,0.82,4,1,6,4,12,2,7,5,10,7,3,0.48,2,0,3,423,347,0.82,4,0,4,8,13,1,6,7,18,6,1,0.52,1,0,5,514,420,0.82,9,4,13,0,9,4,16,2,2,0.48,0,0,4,494,384,0.78,0,1,3,3,8,2,4,4,16,6,2,0.43,3,0,4,405,324,0.8,1,2,6,5,13,2,8,5,11,4,4,0.39,1,0,3,393,303,0.77,0,0,3,1,8,4,4,4,16,6,1,0.53,3,0,2,435,344,0.79,2,7,13,4,4,9,28,3,4,0.47,5,1,3,385,288,0.75
